region,region_rfsd,region_std,baseline_total_firms,baseline_food_agri_firms,baseline_share_food_agri,baseline_share_agri_primary,baseline_treatment_product,baseline_treatment_combined,baseline_share_dairy,baseline_share_meat_beef,baseline_share_meat_pork,baseline_share_meat_poultry,baseline_share_fruits_veg,baseline_share_fish,treatment_tercile,high_treatment
arkhangelsk,arkhangelsk,arkhangelsk oblast,24074,1766,0.07335714879122705,0.04540167815900972,0.09501698754246887,0.006970175292847057,0.04246885617214043,0.0011325028312570782,0.007927519818799546,0.005096262740656852,0.0985277463193658,0.04360135900339751,1,0
belgorod,belgorod,belgorod oblast,34533,3437,0.09952798772188921,0.03153505342715663,0.14368635437881871,0.014300813714418091,0.01803898748908932,0.002618562700029095,0.012219959266802444,0.010183299389002037,0.19522839685772475,0.017457084666860634,2,0
penza,penza,penza oblast,25544,4210,0.1648136548700282,0.0832680864390855,0.1876722090261283,0.0309309426871281,0.08004750593824228,0.0040380047505938245,0.02161520190023753,0.015201900237529691,0.22161520190023754,0.02304038004750594,3,1
khanty-mansijsk,khanty-mansijsk,khanty-mansijsk,39829,3051,0.07660247558311784,0.026463129880238016,0.12151753523434938,0.00930854402570991,0.009177318911832186,0.0009832841691248771,0.003933136676499509,0.0009832841691248771,0.15568666011143886,0.05244182235332678,1,0
khakasia,khakasia,khakasia,9110,952,0.10450054884742041,0.041383095499451156,0.11628151260504199,0.012151481888035123,0.04411764705882353,0.0010504201680672268,0.0031512605042016808,0.0063025210084033615,0.13655462184873948,0.03361344537815126,2,0
kherson,kherson,kherson,814,469,0.5761670761670762,0.5466830466830467,0.6053304904051173,0.3487714987714988,0.006396588486140725,0.0,0.0021321961620469083,0.0042643923240938165,0.9211087420042644,0.010660980810234541,3,1
krasnoyarsk,krasnoyarsk,krasnoyarsk krai,72347,6452,0.08918130675770937,0.04007077003884059,0.11834314941103534,0.010553996710298975,0.021233725976441412,0.0015499070055796653,0.0043397396156230625,0.003254804711717297,0.1591754494730316,0.01828890266584005,1,0
luhansk,luhansk,luhansk,205,46,0.22439024390243903,0.15609756097560976,0.44782608695652176,0.10048780487804879,0.043478260869565216,0.0,0.0,0.021739130434782608,0.6304347826086957,0.06521739130434782,3,1
buryatia,buryatia,buryatia,16344,2492,0.15247185511502692,0.06981155163974548,0.13278491171749598,0.02024596182085169,0.045746388443017656,0.0028089887640449437,0.004414125200642055,0.0040128410914927765,0.16613162118780098,0.02126805778491172,2,1
stavropol,stavropol,stavropol krai,42619,6151,0.14432530092212392,0.050728548300053966,0.18215737278491304,0.02628991764236608,0.012680864900016258,0.002113477483336043,0.003576654202568688,0.007966184360266623,0.26353438465290197,0.012680864900016258,3,1
moscow reg.,moscow reg.,moscow oblast,242923,17743,0.07303960514237022,0.025279615351366483,0.1721101279377783,0.012570855785578148,0.02271318266358564,0.0033252550301527363,0.0027616524826692217,0.003776137068139548,0.23789663529279154,0.024798512089274645,2,0
rostov,rostov,rostov oblast,84458,10165,0.12035567974614601,0.04443628785905421,0.21019183472700445,0.0252977811456582,0.0070831283817019185,0.001574028529267093,0.001869158878504673,0.006984751598622725,0.30713231677324154,0.020560747663551402,3,1
murmansk,murmansk,murmansk oblast,21043,2354,0.11186617877679038,0.032647436202062445,0.10836873406966865,0.012122796179252007,0.00594732370433305,0.0004248088360237893,0.0021240441801189465,0.002973661852166525,0.05989804587935429,0.22090059473237042,2,0
donetsk,donetsk,donetsk,2219,210,0.0946372239747634,0.046417305092383954,0.29404761904761906,0.02782785038305543,0.014285714285714285,0.009523809523809525,0.0,0.02857142857142857,0.41904761904761906,0.03333333333333333,3,1
tula,tula,tula oblast,38145,3533,0.09262026477913225,0.03683313671516582,0.19307953580526466,0.01788307772971556,0.02604019247098783,0.0022643645626945937,0.003679592414378715,0.006227002547410133,0.27512029436739316,0.009057458250778375,2,1
nizhni novgorod,nizhni novgorod,nizhny novgorod oblast,89854,6993,0.07782625147461437,0.02642063792374296,0.1354926354926355,0.01054488392280811,0.04218504218504218,0.001001001001001001,0.003575003575003575,0.003861003861003861,0.1758901758901759,0.015587015587015586,1,0
ryazan,ryazan,ryazan oblast,30387,2851,0.09382301642149603,0.03435679731464113,0.13658365485794458,0.01281469049264488,0.03823219922834093,0.002104524728165556,0.005962820063135742,0.006664328305857594,0.17713083128726761,0.01683619782532445,2,0
sankt-petersburg,sankt-petersburg,st. petersburg,392479,17993,0.04584449104283286,0.003936516348645405,0.024356694269993887,0.0011166202522937532,0.002278663924859668,0.0005001945200911466,0.00022230867559606515,0.0008336575334852443,0.027899738787306175,0.017062190851997998,1,0
oryol,oryol,oryol,14094,2019,0.143252447850149,0.060806016744714066,0.2267211490837048,0.03247835958563928,0.01733531451213472,0.0024764735017335313,0.004457652303120356,0.005943536404160475,0.3308568598315998,0.009905894006934125,3,1
orenburg,orenburg,orenburg oblast,37311,4856,0.13014928573342982,0.06649513548283348,0.22117998352553545,0.028786416874380213,0.017092257001647446,0.0026771004942339376,0.005354200988467875,0.008031301482701812,0.32042833607907745,0.012355848434925865,3,1
saratov,saratov,saratov oblast,45813,5351,0.11680090803920284,0.043219173597013945,0.18930106522145396,0.022110536310654183,0.022799476733320875,0.001308166697813493,0.0039245000934404785,0.00728835731638946,0.2683610540085965,0.014950476546439918,2,1
bryansk,bryansk,bryansk oblast,19260,2522,0.13094496365524402,0.05799584631360332,0.18241475019825534,0.023886292834890962,0.08326724821570182,0.0023790642347343376,0.005154639175257732,0.003965107057890563,0.22759714512291832,0.00951625693893735,3,1
