tau_hat,age,female,post,age_sq,educ_0,educ_1,educ_2,educ_3
-0.20498794076804736,48.0,0.0,1,2304.0,0,1,0,0
-0.514153533976867,60.0,0.0,0,3600.0,1,0,0,0
-0.31580771196637736,21.0,0.0,1,441.0,0,0,1,0
-0.3377881738984913,56.5,0.0,1,3192.25,0,1,0,0
-0.3716688989013233,58.5,0.0,1,3422.25,0,1,0,0
-0.6091070263721813,30.0,0.0,0,900.0,0,0,1,0
-0.5312991196259439,33.0,0.0,1,1089.0,0,1,0,0
-0.4582648826153059,55.0,0.0,0,3025.0,1,0,0,0
-0.5696580766260778,36.5,0.0,0,1332.25,0,1,0,0
-0.19434044448535287,40.5,0.0,0,1640.25,0,0,1,0
-0.4509259411917253,52.0,0.0,1,2704.0,1,0,0,0
-0.18766444382315947,24.5,0.0,0,600.25,1,0,0,0
-0.4343509055047652,28.5,0.0,0,812.25,1,0,0,0
-0.1856947092719589,42.0,0.0,1,1764.0,0,1,0,0
-0.25028857161850526,22.0,0.0,1,484.0,1,0,0,0
-0.11155374505034987,60.5,0.0,1,3660.25,1,0,0,0
-0.4860247013076629,32.0,0.0,0,1024.0,0,1,0,0
-0.4428892243630225,38.0,0.0,0,1444.0,0,1,0,0
-0.41379131198528657,55.5,0.0,0,3080.25,1,0,0,0
-0.16784615021860713,43.5,0.0,1,1892.25,1,0,0,0
-0.4889065008491381,19.5,0.0,0,380.25,0,1,0,0
-0.9122186444717337,36.5,0.0,1,1332.25,1,0,0,0
-0.040897225959828275,61.5,0.0,1,3782.25,1,0,0,0
-0.2467597668554761,39.0,0.0,1,1521.0,0,0,1,0
-0.5000912316960597,30.0,0.0,0,900.0,1,0,0,0
-0.4270639259559633,37.5,0.0,1,1406.25,1,0,0,0
0.06164081951923318,26.5,0.0,0,702.25,1,0,0,0
-0.4343509055047652,28.5,0.0,0,812.25,1,0,0,0
-0.4146148552230798,54.5,0.0,0,2970.25,0,0,1,0
-0.2608372608932513,32.5,0.0,1,1056.25,1,0,0,0
