region,region_agri_share,n_total,n_agri,agri_share_pct
Amurskaja Oblast: Tambovskii Rajon,.38144329,1635,618,38.144329
Penzenskaya Oblast: Zemetchinskij Rajon,.25694445,1288,291,25.694445
Volgograd Oblast: Rudnjanskij Rajon,.19191919,1865,304,19.191919
Krasnojarskij Kraij: Nazarovo CR,.13471502,1725,214,13.471502
Altaiskij Kraj: Kur`inskij Rajon,.11173184,1484,181,11.173184
Krasnodarskij Kraj: Kushchevskij Rajon,.11147541,2646,309,11.147541
Udmurt ASSR: Glasov CR,.10546875,2219,226,10.546875
Leningrad Oblast: Volosovkij Rajon,.086956523,1711,155,8.695652
"Kabardino-Balkarija, Zol `skij Rajon",.082802549,993,48,8.2802553
Kaluzhskaya Oblast: Kuibyshev Rajon,.074324325,1319,114,7.4324327
Tambov Oblast: Uvarovo CR,.05882353,1918,109,5.8823528
Altaiskij Kraj: Biisk CR,.041420117,1453,77,4.1420116
Stavropolskij Kraj: Georgievskij CR,.03846154,1952,60,3.846154
Cheliabinsk Oblast:  Krasnoarmeiskij Rajon,.028301887,1833,90,2.8301888
Cheliabinsk,.013574661,1951,11,1.3574661
Moscow Oblast,.013565891,4600,57,1.3565892
Krasnojarskij Kraij: Krasnojarsk,.013043478,2015,16,1.3043478
Chuvashskaya ASSR: Shumerlja CR,.012931035,1989,53,1.2931035
Kurgan,.012903226,1433,18,1.2903225
Gorkovskaja Oblast: Nizhnij Novgorod,.012448133,2453,24,1.2448133
Novosibirskaya Oblast: Berdsk City & Raion (2003-present),.011173184,1606,6,1.1173184
Tatarskaja ASSR: Kazan,.010676157,2568,19,1.0676156
Rostov Oblast: Batajsk,.009615385,2113,24,.96153849
Lipetskaya Oblast: Lipetsk CR,.0077220076,2691,32,.77220076
Saratov CR,.0054347827,1870,4,.54347825
Komi-ASSR: Syktyvkar,.005181347,1777,14,.51813471
Saratov Oblast: Volskij Gorosovet & Rajon,.0051020407,1708,18,.51020408
Krasnodar CR,.0049999999,1906,13,.5
Moscow City,.0046948357,5918,23,.46948358
Tomsk,.00390625,2107,5,.390625
Perm Territory: Solikamsk City & Rajon,.0036101083,2386,21,.36101082
Komi-ASSR: Usinsk CR (1994-2019),0,2283,2,0
Smolensk CR,0,1258,10,0
St. Petersburg City,0,2246,2,0
Tulskaja Oblast: Tula,0,1658,4,0
Orenburg Oblast: Orsk,0,2162,2,0
Kalinin Oblast: Rzhev CR,0,1792,20,0
Vladivostok,0,1564,10,0
