year,ln_wage8,synth_adjusted,gap
2010,8.9182806,8.9314909,-.013210297
2011,9.1198359,9.0459213,.073914528
2012,9.1849146,9.1963472,-.011432648
2013,9.2258339,9.2751045,-.04927063
2014,9.4211159,9.3502951,.070820808
2015,9.540637,9.4021273,.13850975
2016,9.5895128,9.4417191,.14779377
2017,9.6838856,9.5262747,.15761089
2018,9.8310556,9.5925531,.2385025
2019,9.9239941,9.6898317,.23416233
2020,9.9860058,9.7167521,.26925373
2021,10.09623,9.8053265,.29090309
2022,10.231105,9.9098158,.32128906
2023,10.349192,10.061863,.28732872
