year,ln_wage_agri,synth_simple,synth_matched,gap_simple,gap_matched,gap_food,gap_constr,gap_govt,gap_educ,gap_trade
2010,8.9198179,9.3442955,8.9295826,-.42447758,-.0097646713,-.034781456,.3976984,-.03497982,-.36144066,.012800217
2011,9.1025028,9.4648571,9.0639362,-.36235428,.038566589,.03924942,.38197994,-.097245216,-.34811401,.0027561188
2012,9.1895332,9.5966196,9.1841316,-.40708637,.0054016113,-.017320633,.40312672,-.10073566,-.31861877,-.0023031235
2013,9.243885,9.6900721,9.2780886,-.44618702,-.034203529,.014727592,.36023426,-.229105,-.21242332,.010305405
2014,9.4185629,9.7866516,9.3683319,-.36808872,.05023098,.033959389,.35122395,-.18274403,-.23847675,-.022091866
2015,9.5432568,9.8335028,9.4085875,-.29024601,.1346693,.035969734,.33811951,-.20321846,-.24528694,-.034082413
2016,9.5939054,9.8772364,9.451498,-.28333092,.14240742,.047018051,.29452705,-.20814133,-.22636223,-.0044174194
2017,9.649827,9.9357185,9.5225315,-.28589153,.12729549,-.013766289,.34705544,-.20652485,-.28599072,.047767639
2018,9.7988167,10.034577,9.588047,-.23576069,.21076965,-.066025734,.32870293,-.16753864,-.22602367,.0016775131
2019,9.9023151,10.122527,9.6731558,-.22021198,.22915936,-.041012764,.31634617,-.10045338,-.2256813,-.020923615
