year,ln_wage_agri,synth_simple,synth_matched,synth_weighted,gap_simple,gap_matched,gap_weighted
2010,8.9198179,9.3442955,8.9197636,8.9075813,-.42447758,.000054359436,.012236595
2011,9.1025028,9.4648571,9.053524,9.042985,-.36235428,.048978806,.05951786
2012,9.1895332,9.5966196,9.1829319,9.180172,-.40708637,.0066013336,.0093612671
2013,9.243885,9.6900721,9.2995186,9.3249998,-.44618702,-.055633545,-.081114769
2014,9.4185629,9.7866516,9.3857632,9.4069548,-.36808872,.032799721,.011608124
2015,9.5432568,9.8335028,9.4262085,9.4480019,-.29024601,.11704826,.095254898
2016,9.5939054,9.8772364,9.473381,9.5028839,-.28333092,.12052441,.091021538
2017,9.649827,9.9357185,9.5284986,9.5375395,-.28589153,.12132835,.11228752
2018,9.7988167,10.034577,9.6152,9.6463699,-.23576069,.18361664,.15244675
2019,9.9023151,10.122527,9.7010927,9.7338104,-.22021198,.20122242,.16850471
