
="",="(1)",="(2)",="(3)",="(4)"
="",="Log monthly wage",="Log monthly wage",="Log monthly wage",="Log monthly wage"

="Agriculture × Post-2014",="0.0359",="",="",=""
="",="(1.58)",="",="",=""

="Agri (initial) × Post",="",="0.118**",="0.133***",="0.0789*"
="",="",="(3.27)",="(3.83)",="(2.37)"

=" Number of full years",="",="",="0.0603***",=""
="",="",="",="(6.54)",=""

="Age squared",="",="",="-0.000665***",=""
="",="",="",="(-13.47)",=""

="Less than secondary",="",="",="0",=""
="",="",="",="(.)",=""

="Secondary",="",="",="-0.108",=""
="",="",="",="(-0.73)",=""

="Some college",="",="",="-0.119",=""
="",="",="",="(-0.79)",=""

="University+",="",="",="-0.0568",=""
="",="",="",="(-0.38)",=""

="Female (1=yes)",="",="",="0",=""
="",="",="",="(.)",=""

="Constant",="9.935***",="9.863***",="8.662***",="9.761***"
="",="(17798.49)",="(9745.29)",="(22.88)",="(12708.18)"

="Observations",="99536",="78895",="78805",="63830"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
