
="",="(1)",="(2)",="(3)",="(4)"
="",="Log monthly wage",="Log monthly wage",="Log monthly wage",="Log monthly wage"

="Agriculture × Post-2014",="0.0359",="0.101**",="",="0.0652*"
="",="(1.58)",="(2.99)",="",="(2.41)"

="Post-2014",="",="",="0",=""
="",="",="",="(.)",=""

="Constant",="9.935***",="9.916***",="9.601***",="9.909***"
="",="(17798.49)",="(13439.78)",="(6.89e+14)",="(13610.96)"

="Observations",="99536",="67478",="2918",="70504"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
