
="",="(1)",="(2)",="(3)",="(4)"
="",="Log monthly wage",="Log monthly wage",="Log monthly wage",="Log monthly wage"

="Agriculture × Post-2014",="0.0359",="",="0.0310",=""
="",="(1.58)",="",="(1.01)",=""

="agri_p2",="",="0.0122",="",=""
="",="",="(0.50)",="",=""

="agri_p3",="",="0.0705*",="",=""
="",="",="(2.65)",="",=""

="agri_p4",="",="0.0937*",="",=""
="",="",="(2.51)",="",=""

="agri_post22",="",="",="",="0.0373"
="",="",="",="",="(1.66)"

="Constant",="9.935***",="9.935***",="9.791***",="10.12***"
="",="(17798.49)",="(17210.64)",="(15374.91)",="(69067.48)"

="Observations",="99536",="99536",="72904",="66694"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
