
="",="(1)",="(2)",="(3)",="(4)"
="",="Switched into agriculture",="Switched into agriculture",="Switched into agriculture",="Switched into agriculture"

="Post-2014",="-0.000270",="-0.000288",="0",="-0.00193"
="",="(-0.18)",="(-0.19)",="(.)",="(-0.97)"

=" Year=2011",="0",="0",="",="0"
="",="(.)",="(.)",="",="(.)"

=" Year=2012",="0.00105",="0.000639",="",="0.00105"
="",="(0.67)",="(0.41)",="",="(0.67)"

=" Year=2013",="-0.000794",="-0.000909",="",="-0.000794"
="",="(-0.54)",="(-0.63)",="",="(-0.54)"

=" Year=2014",="-0.00168",="-0.00176",="",="-0.0000127"
="",="(-1.13)",="(-1.20)",="",="(-0.01)"

=" Year=2015",="-0.00214",="-0.00217",="",="-0.000474"
="",="(-1.71)",="(-1.73)",="",="(-0.32)"

=" Year=2016",="-0.00153",="-0.00161",="",="0.000137"
="",="(-0.87)",="(-0.92)",="",="(0.08)"

=" Year=2017",="-0.000713",="-0.000763",="",="0.000950"
="",="(-0.35)",="(-0.38)",="",="(0.90)"

=" Year=2018",="0.000163",="0.000161",="",="0.00183"
="",="(0.09)",="(0.09)",="",="(0.91)"

=" Year=2019",="-0.00166",="-0.00172",="",="0"
="",="(-0.88)",="(-0.92)",="",="(.)"

=" Year=2020",="-0.00236",="-0.00242",="",=""
="",="(-1.71)",="(-1.76)",="",=""

=" Year=2021",="-0.00267",="-0.00272",="",=""
="",="(-1.91)",="(-1.95)",="",=""

=" Year=2022",="-0.00130",="-0.00138",="",=""
="",="(-1.04)",="(-1.11)",="",=""

=" Year=2023",="0",="0",="",=""
="",="(.)",="(.)",="",=""

=" Number of full years",="",="0.000813***",="0.000610**",=""
="",="",="(3.74)",="(2.84)",=""

="Age squared",="",="-0.00000925**",="-0.00000712**",=""
="",="",="(-3.52)",="(-2.73)",=""

="Female (1=yes)",="",="-0.00523***",="-0.00563***",=""
="",="",="(-4.38)",="(-4.46)",=""

="Less than secondary",="",="0",="0",=""
="",="",="(.)",="(.)",=""

="Secondary",="",="0.0139**",="0.0150***",=""
="",="",="(3.45)",="(3.80)",=""

="Some college",="",="0.00963***",="0.0115***",=""
="",="",="(4.48)",="(3.57)",=""

="University+",="",="0.00658***",="0.00944**",=""
="",="",="(4.42)",="(3.43)",=""

="Constant",="0.00843***",="-0.0135**",="-0.0126*",="0.00843***"
="",="(4.83)",="(-3.07)",="(-2.44)",="(4.83)"

="Observations",="79721",="79674",="79674",="56028"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
