
="",="(1)",="(2)",="(3)"
="",="Switched out of agriculture",="Switched out of agriculture",="Switched out of agriculture"

="Post-2014",="0.0200",="0.0288",="0.0582"
="",="(0.70)",="(0.98)",="(1.73)"

=" Year=2011",="0",="0",="0"
="",="(.)",="(.)",="(.)"

=" Year=2012",="0.0578",="0.0632*",="0.0578"
="",="(1.90)",="(2.12)",="(1.90)"

=" Year=2013",="0.0379",="0.0372",="0.0379"
="",="(1.67)",="(1.68)",="(1.67)"

=" Year=2014",="0.0777",="0.0667",="0.0395"
="",="(1.99)",="(1.76)",="(1.19)"

=" Year=2015",="-0.0211",="-0.0270",="-0.0593*"
="",="(-0.66)",="(-0.82)",="(-2.16)"

=" Year=2016",="-0.00916",="-0.0171",="-0.0474"
="",="(-0.27)",="(-0.49)",="(-1.46)"

=" Year=2017",="-0.0482",="-0.0522",="-0.0864*"
="",="(-1.46)",="(-1.60)",="(-2.28)"

=" Year=2018",="0.0196",="0.0149",="-0.0186"
="",="(0.51)",="(0.39)",="(-0.53)"

=" Year=2019",="0.0382",="0.0317",="0"
="",="(1.04)",="(0.87)",="(.)"

=" Year=2020",="0.00315",="-0.00496",=""
="",="(0.11)",="(-0.18)",=""

=" Year=2021",="0.0301",="0.0214",=""
="",="(1.08)",="(0.77)",=""

=" Year=2022",="0.0677",="0.0611",=""
="",="(1.81)",="(1.61)",=""

=" Year=2023",="0",="0",=""
="",="(.)",="(.)",=""

=" Number of full years",="",="-0.00378",=""
="",="",="(-0.64)",=""

="Age squared",="",="-0.000000123",=""
="",="",="(-0.00)",=""

="Female (1=yes)",="",="0.0138",=""
="",="",="(0.78)",=""

="Less than secondary",="",="0",=""
="",="",="(.)",=""

="Secondary",="",="0.179***",=""
="",="",="(5.64)",=""

="Some college",="",="0.234***",=""
="",="",="(6.06)",=""

="University+",="",="0.264***",=""
="",="",="(8.27)",=""

="Constant",="0.158***",="0.0875",="0.158***"
="",="(10.77)",="(0.69)",="(10.76)"

="Observations",="3349",="3348",="2455"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
