
="",="(1)",="(2)",="(3)"
="",="Agriculture sector",="Agriculture sector",="Agriculture sector"

="Post-2014",="-0.0150**",="-0.0145**",="0"
="",="(-2.95)",="(-3.05)",="(.)"

=" Year=2010",="0",="0",=""
="",="(.)",="(.)",=""

=" Year=2011",="-0.00160",="-0.00202",=""
="",="(-0.54)",="(-0.69)",=""

=" Year=2012",="-0.00419",="-0.00749*",=""
="",="(-1.56)",="(-2.53)",=""

=" Year=2013",="-0.00759*",="-0.00763*",=""
="",="(-2.10)",="(-2.13)",=""

=" Year=2014",="0.00219",="0.00166",=""
="",="(0.58)",="(0.51)",=""

=" Year=2015",="0.000473",="0.000683",=""
="",="(0.14)",="(0.21)",=""

=" Year=2016",="0.000857",="0.00119",=""
="",="(0.24)",="(0.34)",=""

=" Year=2017",="0.00307",="0.00367",=""
="",="(0.81)",="(0.97)",=""

=" Year=2018",="0.00279",="0.00332",=""
="",="(0.80)",="(1.01)",=""

=" Year=2019",="0.000151",="0.000612",=""
="",="(0.06)",="(0.23)",=""

=" Year=2020",="0.00129",="0.00171",=""
="",="(0.55)",="(0.79)",=""

=" Year=2021",="-0.000530",="-0.000368",=""
="",="(-0.29)",="(-0.21)",=""

=" Year=2022",="-0.00209",="-0.00192",=""
="",="(-1.73)",="(-1.64)",=""

=" Year=2023",="0",="0",=""
="",="(.)",="(.)",=""

=" Number of full years",="",="0.00123",=""
="",="",="(1.59)",=""

="Age squared",="",="-0.00000477",=""
="",="",="(-0.55)",=""

="Female (1=yes)",="",="-0.0247**",=""
="",="",="(-3.56)",=""

="Less than secondary",="",="0",=""
="",="",="(.)",=""

="Secondary",="",="-0.258*",=""
="",="",="(-2.13)",=""

="Some college",="",="-0.307*",=""
="",="",="(-2.52)",=""

="University+",="",="-0.332*",=""
="",="",="(-2.66)",=""

="Constant",="0.0499***",="0.338*",="0.0394***"
="",="(4.15)",="(2.68)",="(5.94e+11)"

="Observations",="105142",="104987",="105142"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
