
="",="(1)",="(2)",="(3)"
="",="switch_into_agri",="switch_out_agri",="Agriculture sector"

="Post-2014",="-0.000270",="0.0200",="-0.0150**"
="",="(-0.18)",="(0.70)",="(-2.95)"

=" Year=2011",="0",="0",="-0.00160"
="",="(.)",="(.)",="(-0.54)"

=" Year=2012",="0.00105",="0.0578",="-0.00419"
="",="(0.67)",="(1.90)",="(-1.56)"

=" Year=2013",="-0.000794",="0.0379",="-0.00759*"
="",="(-0.54)",="(1.67)",="(-2.10)"

=" Year=2014",="-0.00168",="0.0777",="0.00219"
="",="(-1.13)",="(1.99)",="(0.58)"

=" Year=2015",="-0.00214",="-0.0211",="0.000473"
="",="(-1.71)",="(-0.66)",="(0.14)"

=" Year=2016",="-0.00153",="-0.00916",="0.000857"
="",="(-0.87)",="(-0.27)",="(0.24)"

=" Year=2017",="-0.000713",="-0.0482",="0.00307"
="",="(-0.35)",="(-1.46)",="(0.81)"

=" Year=2018",="0.000163",="0.0196",="0.00279"
="",="(0.09)",="(0.51)",="(0.80)"

=" Year=2019",="-0.00166",="0.0382",="0.000151"
="",="(-0.88)",="(1.04)",="(0.06)"

=" Year=2020",="-0.00236",="0.00315",="0.00129"
="",="(-1.71)",="(0.11)",="(0.55)"

=" Year=2021",="-0.00267",="0.0301",="-0.000530"
="",="(-1.91)",="(1.08)",="(-0.29)"

=" Year=2022",="-0.00130",="0.0677",="-0.00209"
="",="(-1.04)",="(1.81)",="(-1.73)"

=" Year=2023",="0",="0",="0"
="",="(.)",="(.)",="(.)"

=" Year=2010",="",="",="0"
="",="",="",="(.)"

="Constant",="0.00843***",="0.158***",="0.0499***"
="",="(4.83)",="(10.77)",="(4.15)"

="Observations",="79721",="3349",="105142"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
