
="",="(1)",="(2)",="(3)",="(4)"
="",="Log monthly wage",="Log monthly wage",="Log monthly wage",="Log monthly wage"

="Agriculture × Post-2014",="0.181***",="0.0359",="0.0457*",=""
="",="(4.11)",="(1.58)",="(2.07)",=""

="Agriculture sector",="-0.460***",="",="",=""
="",="(-6.46)",="",="",=""

="Post-2014",="0",="",="",=""
="",="(.)",="",="",=""

=" Number of full years",="",="",="0.0625***",=""
="",="",="",="(8.03)",=""

="Age squared",="",="",="-0.000715***",=""
="",="",="",="(-14.60)",=""

="Less than secondary",="",="",="0",=""
="",="",="",="(.)",=""

="Secondary",="",="",="-0.0970",=""
="",="",="",="(-0.64)",=""

="Some college",="",="",="-0.104",=""
="",="",="",="(-0.68)",=""

="University+",="",="",="-0.0375",=""
="",="",="",="(-0.25)",=""

="Female (1=yes)",="",="",="0",=""
="",="",="",="(.)",=""

="Treated sector × Post-2014",="",="",="",="0.0233*"
="",="",="",="",="(2.31)"

="Constant",="9.940***",="9.935***",="8.728***",="9.934***"
="",="(160.51)",="(17798.49)",="(28.74)",="(15236.54)"

="Observations",="105142",="99536",="99399",="99536"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
