
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Log monthly wage",="Log monthly wage",="Log monthly wage",="Log monthly wage",="Log monthly wage"

="Agriculture × Post-2014",="0.0359",="0.0387",="0.0680*",="0.0314",="0.0351"
="",="(1.58)",="(0.88)",="(2.32)",="(1.29)",="(1.32)"

="Constant",="9.935***",="9.976***",="9.812***",="9.972***",="9.926***"
="",="(17798.49)",="(1355.67)",="(7260.96)",="(14531.52)",="(9627.01)"

="Observations",="99536",="13844",="51553",="86211",="61754"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
