
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Log monthly wage",="Log hourly wage",="ln_wage_wins",="ln_wage_wins_yr",="ln_wage_real"

="Agriculture × Post-2014",="0.0359",="0.00336",="0.0291",="0.0318",="0.0359"
="",="(1.58)",="(0.11)",="(1.44)",="(1.54)",="(1.58)"

="Constant",="9.935***",="4.798***",="9.936***",="9.936***",="9.724***"
="",="(17798.49)",="(7254.77)",="(20036.82)",="(19693.30)",="(17420.68)"

="Observations",="99536",="88681",="99536",="99536",="99536"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
