
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Log monthly wage",="Log monthly wage",="Log monthly wage",="Log monthly wage",="Log monthly wage"

="Agriculture × Post-2014",="0.0359",="0.0342",="0.0309",="0.0310",="0.0338"
="",="(1.58)",="(1.30)",="(1.33)",="(1.01)",="(1.00)"

="Constant",="9.935***",="9.857***",="9.900***",="9.791***",="9.755***"
="",="(17798.49)",="(16254.09)",="(17775.90)",="(15374.91)",="(15022.19)"

="Observations",="99536",="86194",="92319",="72904",="65948"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
