
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="Log monthly wage",="Log monthly wage",="Log monthly wage",="Log monthly wage",="Log monthly wage",="Log monthly wage"

="Agriculture × Post-2014",="0.0359",="",="",="",="",=""
="",="(1.58)",="",="",="",="",=""

="constr_post",="",="0.0365**",="",="",="",=""
="",="",="(3.16)",="",="",="",=""

="heavy_post",="",="",="0.0402",="",="",=""
="",="",="",="(1.32)",="",="",=""

="transp_post",="",="",="",="-0.0103",="",=""
="",="",="",="",="(-0.91)",="",=""

="gov_post",="",="",="",="",="-0.0590",=""
="",="",="",="",="",="(-2.01)",=""

="educ_post",="",="",="",="",="",="-0.0363*"
="",="",="",="",="",="",="(-2.70)"

="Constant",="9.935***",="9.934***",="9.935***",="9.936***",="9.937***",="9.938***"
="",="(17798.49)",="(16671.56)",="(13558.39)",="(13752.70)",="(19595.23)",="(10388.00)"

="Observations",="99536",="99536",="99536",="99536",="99536",="99536"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
