
="",="(1)",="(2)",="(3)",="(4)"
="",="Log monthly wage",="Log monthly wage",="Log monthly wage",="Log monthly wage"

="agri_plac_2011",="-0.0193",="",="",=""
="",="(-1.00)",="",="",=""

="agri_plac_2012",="",="-0.0511**",="",=""
="",="",="(-2.73)",="",=""

="agri_plac_2013",="",="",="-0.0595*",=""
="",="",="",="(-2.55)",=""

="Agriculture × Post-2014",="",="",="",="0.0338"
="",="",="",="",="(1.00)"

="Constant",="9.606***",="9.607***",="9.606***",="9.755***"
="",="(13443.88)",="(19514.62)",="(26079.44)",="(15022.19)"

="Observations",="37339",="37339",="37339",="65948"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
