
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="ln_wage",="ln_wage",="ln_wage",="ln_wage",="ln_wage"

="agri_post",="0.0310",="",="",="",=""
="",="(1.01)",="",="",="",=""

="agri_post_embargo",="",="0.0310",="",="",=""
="",="",="(1.01)",="",="",=""

="agri_post_crash",="",="",="0.0467",="",=""
="",="",="",="(1.76)",="",=""

="agri_embargo_precrash",="",="",="",="0.00645",=""
="",="",="",="",="(0.14)",=""

="agri_p1",="",="",="",="",="0"
="",="",="",="",="",="(.)"

="agri_p2",="",="",="",="",="-0.0231"
="",="",="",="",="",="(-0.58)"

="agri_p3",="",="",="",="",="-0.0639"
="",="",="",="",="",="(-0.74)"

="agri_p4",="",="",="",="",="0.0450"
="",="",="",="",="",="(1.46)"

="Constant",="9.791***",="9.791***",="9.790***",="9.594***",="9.791***"
="",="(15374.91)",="(15374.91)",="(21256.62)",="(33014.55)",="(15325.40)"

="Observations",="72904",="72904",="72904",="36130",="72904"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
