psu,rlms_label,oblast_rlms,region_rfsd
1,Leningrad Oblast: Volosovkij Rajon,leningrad,leningrad
9,Krasnodar CR,krasnodar,krasnodar
10,Udmurt ASSR: Glasov CR,udmurtia,udmurtia
12,Perm Territory: Solikamsk City & Rajon,perm,perm
14,Kaluzhskaya Oblast: Kuibyshev Rajon,kaluga,kaluga
33,Tambov Oblast: Uvarovo CR,tambov,tambov
39,Volgograd Oblast: Rudnjanskij Rajon,volgograd,volgograd
45,Tatarskaja ASSR: Kazan,tatarstan,tatarstan
46,Kurgan,kurgan,kurgan
47,Orenburg Oblast: Orsk,orenburg,orenburg
48,Chuvashskaya ASSR: Shumerlja CR,chuvashia,chuvashia
52,Stavropolskij Kraj: Georgievskij CR,stavropol,stavropol
58,Altaiskij Kraj: Kur`inskij Rajon,altai krai,altai terr.
66,Krasnojarskij Kraij: Krasnojarsk,krasnoyarsk,krasnoyarsk
67,Kalinin Oblast: Rzhev CR,tver,tver
70,Saratov CR,saratov,saratov
71,Tomsk,tomsk,tomsk
72,Lipetskaya Oblast: Lipetsk CR,lipetsk,lipetsk
73,Krasnojarskij Kraij: Nazarovo CR,krasnoyarsk,krasnoyarsk
77,Kabardino-Balkarija,kabardino-balkaria,kabardino-balkaria
84,Altaiskij Kraj: Biisk CR,altai krai,altai terr.
86,Khanty-Mansi Aut Okrug,khanty-mansijsk,khanty-mansijsk
89,Komi-ASSR: Usinsk CR,komi,komi
92,Vladivostok,primorsky,primorsky
93,Amurskaja Oblast: Tambovskii Rajon,amur,amur
100,Saratov Oblast: Volskij Gorosovet & Rajon,saratov,saratov
105,Komi-ASSR: Syktyvkar,komi,komi
106,Cheliabinsk,chelyabinsk,chelyabinsk
107,Cheliabinsk Oblast,chelyabinsk,chelyabinsk
116,Gorkovskaja Oblast: Nizhnij Novgorod,nizhni novgorod,nizhni novgorod
117,Penzenskaya Oblast,penza,penza
129,Krasnodarskij Kraj: Kushchevskij Rajon,krasnodar,krasnodar
135,Smolensk CR,smolensk,smolensk
136,Tulskaja Oblast: Tula,tula,tula
137,Rostov Oblast: Batajsk,rostov,rostov
138,Moscow City,moscow,moscow city
139,Moscow City,moscow,moscow city
140,New Moscow City,moscow,moscow city
141,St. Petersburg City,st. petersburg,sankt-petersburg
142,Moscow Oblast,moscow oblast,moscow reg.
161,Novosibirskaya Oblast,novosibirsk,novosibirsk
200,Komi-ASSR: Pechora CR,komi,komi
